Indicator,Value,Data,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational attainment of household head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Health insurance coverage (children),68.7,Percent ,2015,,SUSENAS ,,All,All,All,All,All,DI Yogyakarta,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),36.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),41.4,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Banten,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),85.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Bali,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),42.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),55.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Nusa Tenggara Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),27.8,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),35.5,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),51.4,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Selatan,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),69.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Timur,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),53,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.3,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),50.2,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tengah,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),71,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Selatan,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),52,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),63.4,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Gorontalo,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),53,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),43.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),54.6,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Maluku Utara,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),58.9,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Papua Barat,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),60.1,Percent ,2015,,SUSENAS ,,All,All,All,All,All,Papua,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.3,Percent ,2015,,SUSENAS ,,Female,All,All,All,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),47.6,Percent ,2015,,SUSENAS ,,Male,All,All,All,All,All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",5.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",6.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",7.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",5.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",5.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",6.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",6.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",9.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",8.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",7.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",2.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",2.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",7.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",8.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",7.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",5.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",5.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",4.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Dentists (per 100,000 people)",3.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",16.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",31,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",23.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",19.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",17,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",18.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",14.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",20.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",13.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",24.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",26.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",26,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",11,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",13.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",28.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",11.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",11.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",27.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",11.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",13.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",14.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",20.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",17.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",25,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",31.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",39.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",18.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",16.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",15.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",22,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",12.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",18.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",20.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",24.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Doctors (per 100,000 people)",24,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",43.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",124.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",62.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",82.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",68.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",72.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",87.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",132.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",30.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",67.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",49.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",21.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",20.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",37.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",26.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",37.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",41.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",43.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",35.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",37.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",41.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",57.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",46.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",64.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",73.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",32.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",49.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",53.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",43.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",62.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",95,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",48.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",110,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",52.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Midwives (per 100,000 people)",35.9,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",87.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,All Indonesia,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",168.4,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Aceh,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",71.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",112.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",87.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",108.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jambi,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",112.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",143.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bengkulu,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",50.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",174.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Bangka Belitung,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",121.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kepulauan Riau,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",115.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DKI Jakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",47.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",86.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",122.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,DI Yogyakarta,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",69.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",67.5,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",100.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Bali,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",80.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",95.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",89.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",155.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",100.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",187.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Timur,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",211.1,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",142.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",140.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tengah,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",131.2,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Selatan,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",109,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",95.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Gorontalo,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",138,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",156.8,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",155.6,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",166.3,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua Barat,,All,3,,,,,,,,,,,,
"Health worker density and distribution: Nurses (per 100,000 people)",123.7,Number,2015,,Indonesia Health Profile,,All,All,All,All,All,Papua,,All,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",20,Percent ,2012,,IDHS,,All,All,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",15,Percent ,2012,,IDHS,,All,Urban,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",24,Percent ,2012,,IDHS,,All,Rural,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
"Neonatal mortality rate (per 1,000 live births)",29,Percent ,2012,,IDHS,,All,All,All,Q1 (poorest),All,All Indonesia,,,3,,,,,,,,,,,,
