Indicator,Value,Year,Month,Source,Reference,Gender (All/Male/Female),Geography (All/Urban/Rural),Disability (All/With/Without),Wealth Quintile (All/Poorest/Second/Middle/Fourth/Richest),Educational Attainment of Household Head,Province,District,"Age Range (i.e. 0-24 M, 15-60 Y)",SDG Goal,SDG Target,SDG National Indicator,CPAP 2016-2020 Outcome,CPAP 2016-2020 Output,Relevant SMQ No.,Keyword Tag 1,Keyword Tag 2,Keyword Tag 3,Keyword Tag 4,Keyword Tag 5,Prefered,To correct
Senior secondary adjusted net attendance rate,36,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,,4,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,36,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Barat,,,6,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",36,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Nusa Tenggara Timur,,,13,,,,,,,,,,,,
"Number of missing persons attributed to disasters, annual average for 2005-2015",36,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Jawa Tengah,,,13,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,36,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Tengah,,,16,,,,,,,,,,,,
Proportion of unsentenced detainees  below the age of 18 as a proportion of overall prison population,36,2017,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Selatan,,<18 yrs,16,,,,,,,,,,,,
Proportion of population living below international poverty line of US$1.9 (PPP) per day,36.1,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,All,1,,,,,,,,,,,,
Health insurance coverage (children),36.1,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,0-17 yrs,3,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,36.2,2013,,RISKESDAS,,Female,All,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,36.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,18+ yrs,1,,,,,,,,,,,,
Prevalence of anaemia among pregnant women over 15 years,36.4,2013,,RISKESDAS,,Female,Urban,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,36.5,2015,,SUSENAS,,All,All,All,All,All,Bali,,All,1,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,36.5,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,36.5,2015,,SUSENAS,,All,All,All,All,All,Papua,,All,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,36.5,2015,,SUSENAS,,All,All,All,All,All,Bali,,15-49 yrs,2,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,36.6,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,All,1,,,,,,,,,,,,
Senior secondary completion rate,36.6,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,36.7,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,36.7,2015,,SUSENAS,,Male,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,36.7,2015,,SUSENAS,,Female,All,All,All,All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,36.7,2013,,RISKESDAS,,All,All,All,All,All,Sumatera Selatan,,0-59 months,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,36.7,2013,,RISKESDAS,,All,All,All,All,All,Jawa Tengah,,0-59 months,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,36.8,2013,,RISKESDAS,,All,All,All,All,All,Riau,,0-59 months,2,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),37,2012,,IDHS,,Female,All,All,All,All,All Indonesia,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),37,2012,,IDHS,,All,All,All,All,All,Sumatera Selatan,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),37,2012,,IDHS,,All,All,All,All,All,Kalimantan Barat,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),37,2012,,IDHS,,All,All,All,All,All,Sulawesi Utara,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),37,2012,,IDHS,,All,All,All,All,All,Sulawesi Selatan,,,3,,,,,,,,,,,,
Neonatal mortality rate,37,2012,,IDHS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,3,,,,,,,,,,,,
Neonatal mortality rate,37,2012,,IDHS,,All,All,All,All,All,Maluku Utara,,,3,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,37.1,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Prevalence of anaemia among pregnant women over 15 years,37.1,2013,,RISKESDAS,,Female,All,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Health worker density and distribution: Midwives,37.1,2015,,Indonesia Health Profile,,All,All,All,All,All,Nusa Tenggara Timur,,All,3,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,37.2,2015,,SUSENAS,,All,All,All,All,All,DKI Jakarta,,All,1,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,37.2,2013,,RISKESDAS,,All,All,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Midwives,37.2,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Tengah,,All,3,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,37.3,2015,,SUSENAS,,All,All,All,All,Graduated senior secondary school (SMA/MA),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,37.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Barat,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,37.3,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$1.9 (PPP) per day,37.3,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,< 18 yrs,1,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,37.3,2012,,IDHS,,All,All,All,All,All,Riau,,0-5 months,2,,,,,,,,,,,,
Health worker density and distribution: Midwives,37.3,2015,,Indonesia Health Profile,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
Percentage of children aged 36-59 months who attend an organized early learning/care and education programme,37.3,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,36-59 months,4,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,37.4,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Utara,,,16,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,37.5,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,All,1,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,37.5,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sumatera Utara,,,16,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,37.8,2015,,SUSENAS,,All,All,All,All,All,Lampung,,All,1,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,37.8,2015,,SUSENAS,,All,All,All,All,All,DI Yogyakarta,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of anaemia among pregnant women over 15 years,37.8,2013,,RISKESDAS,,Female,Rural,All,All,All,All Indonesia,,15+ yrs,2,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,37.8,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Sulawesi Tenggara,,,16,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,37.9,2013,,RISKESDAS,,All,All,All,All,All,Jambi,,0-59 months,2,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,37.9,2012,,IDHS,,All,All,All,All,All,DKI Jakarta,,0-5 months,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,38,2013,,RISKESDAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-59 months,2,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),38,2012,,IDHS,,All,All,All,All,All,Lampung,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),38,2012,,IDHS,,All,All,All,All,All,Jawa Barat,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),38,2012,,IDHS,,All,All,All,All,All,Jawa Tengah,,,3,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),38,2012,,IDHS,,All,All,All,All,All,Banten,,,3,,,,,,,,,,,,
Health insurance coverage (children),38,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,0-17 yrs,3,,,,,,,,,,,,
Senior secondary completion rate,38,2015,,SUSENAS,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Percentage of 15-year old students achieving at least a minimum proficiency in reading,38,2015,,PISA,,Male,All,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,38.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,< 18 yrs,1,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,38.1,2013,,RISKESDAS,,Male,All,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,38.3,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Tenggara,,12-23 months,3,,,,,,,,,,,,
Percentage of schools with sex-separated sanitation facilities,38.3,2016,,School Statistics by the Ministry of Education and Culture from all forms of schols,,All,All,All,All,All,Kalimantan Tengah,,,6,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,38.4,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Tengah,,,6,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate,38.4,2015,,SUSENAS,,All,All,All,All,All,Papua,,0-59 months,16,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,38.5,2013,,RISKESDAS,,All,All,All,Q3,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,38.6,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,38.6,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Barat,,0-59 months,2,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,38.6,2015,,SUSENAS,,All,All,All,All,All,Banten,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,38.6,2016,,INAP,,All,All,All,All,All,Papua,,,4,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate (seen),38.6,2015,,SUSENAS,,All,All,All,All,All,Maluku Utara,,0-59 months,16,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,38.7,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,4,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,38.7,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,38.7,2016,,INAP,,All,All,All,All,All,Kalimantan Tengah,,,4,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,38.9,2013,,RISKESDAS,,All,All,All,All,All,Gorontalo,,0-59 months,2,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,39,2012,,IDHS,,All,All,All,All,All,Papua Barat,,0-5 months,2,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),39,2012,,IDHS,,All,All,All,Q3,All,All Indonesia,,,3,,,,,,,,,,,,
"Adolescent birth rate per 1,000 women",39,2012,,IDHS,,Female,All,All,All,All,Nusa Tenggara Timur,,15-19 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),39,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,0-17 yrs,3,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,39,2015,,Indonesia Health Profile,,All,All,All,All,All,Sumatera Barat,,,6,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,39.1,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,39.1,2015,,SUSENAS ,,All,All,All,All,All,Banten,,12-23 months,3,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,39.2,2013,,RISKESDAS,,All,All,All,All,All,Sumatera Barat,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Doctors,39.2,2015,,Indonesia Health Profile,,All,All,All,All,All,Sulawesi Utara,,All,3,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,39.3,2012,,IDHS,,All,All,All,Q4,All,All Indonesia,,0-5 months,2,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,39.3,2015,,SUSENAS,,All,All,All,All,All,Sumatera Utara,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,39.3,2016,,INAP,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,39.3,2016,,INAP,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,39.4,2015,,SUSENAS,,All,All,All,All,All,Banten,,18+ yrs,1,,,,,,,,,,,,
Health insurance coverage,39.4,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,All,3,,,,,,,,,,,,
Health insurance coverage,39.5,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,All,3,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,39.6,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,All,1,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,39.6,2015,,SUSENAS ,,All,All,All,All,All,Maluku,,12-23 months,3,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,39.7,2013,,RISKESDAS,,All,All,All,All,All,Bengkulu,,0-59 months,2,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate (seen),39.8,2015,,SUSENAS,,All,All,All,All,No school,All Indonesia,,0-59 months,16,,,,,,,,,,,,
Proportion of population living below twice the national poverty line,40,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,All,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40,2015,,SUSENAS,,All,All,All,All,All,Sumatera Barat,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40.1,2015,,SUSENAS,,All,All,All,All,All,Aceh,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,40.1,2013,,RISKESDAS,,All,All,All,All,All,Papua,,0-59 months,2,,,,,,,,,,,,
Percentage of population using improved sanitation facilities,40.1,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,6,,,,,,,,,,,,
Percentage of population using improved sanitation facilities,40.2,2015,,SUSENAS,,All,All,All,All,All,Gorontalo,,,6,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40.3,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,40.3,2012,,IDHS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,0-5 months,2,,,,,,,,,,,,
Proportion of population living below international poverty line of US$3.1 (PPP) per day,40.4,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,All,1,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,40.4,2012,,IDHS,,All,All,All,All,All,Bengkulu,,0-5 months,2,,,,,,,,,,,,
Percentage of population using improved sanitation facilities,40.4,2015,,SUSENAS,,All,All,All,Q1 (poorest),All,All Indonesia,,,6,,,,,,,,,,,,
Proportion of unsentenced detainees as a proportion of overall prison population,40.4,2015,,Ministry of Law and Human Rights,,All,All,All,All,All,Papua Barat,,,16,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,40.5,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,18+ yrs,1,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,40.5,2012,,IDHS,,All,All,All,Q3,All,All Indonesia,,0-5 months,2,,,,,,,,,,,,
Proportion of children living below international poverty line of US$3.1 (PPP) per day,40.6,2015,,SUSENAS,,All,All,All,All,All,Jawa Timur,,< 18 yrs,1,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,40.6,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,40.6,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,40.6,2013,,RISKESDAS,,All,All,All,All,All,Maluku,,0-59 months,2,,,,,,,,,,,,
Senior secondary completion rate,40.6,2015,,SUSENAS,,All,Rural,All,All,All,All Indonesia,,,4,,,,,,,,,,,,
Senior secondary completion rate,40.6,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,,4,,,,,,,,,,,,
Proportion of infants 0-5 months of age who are fed exclusively with breastmilk,40.7,2012,,IDHS,,All,All,All,All,All,Kalimantan Tengah,,0-5 months,2,,,,,,,,,,,,
Proportion of institutional deliveries,40.7,2015,,SUSENAS ,,Female,All,All,All,All,Maluku Utara,,All,3,,,,,,,,,,,,
Health insurance coverage (adults),40.7,2015,,SUSENAS ,,All,All,All,All,All,Jawa Timur,,18+ yrs,3,,,,,,,,,,,,
Percentage of schools with sex-separated sanitation facilities,40.7,2016,,School Statistics by the Ministry of Education and Culture from all forms of schols,,All,All,All,All,All,Nusa Tenggara Timur,,,6,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,40.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Utara,,,4,,,,,,,,,,,,
Percentage of children in Grade 4 of primary education achieving at least a minimum proficiency in reading,40.8,2016,,INAP,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,40.9,2015,,SUSENAS,,All,All,All,All,All,Jawa Tengah,,18+ yrs,1,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,40.9,2013,,RISKESDAS,,All,All,All,All,All,Sulawesi Selatan,,0-59 months,2,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,41,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41,2015,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41,2013,,RISKESDAS,,All,All,All,All,All,Sulawesi Tengah,,0-59 months,2,,,,,,,,,,,,
Proportion of institutional deliveries,41,2015,,SUSENAS ,,Female,All,All,All,All,Sulawesi Tenggara,,All,3,,,,,,,,,,,,
Percentage of population using improved sanitation facilities,41,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,6,,,,,,,,,,,,
Share of villages/wards implementing Community Based Total Sanitation (STBM).,41,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Selatan,,,6,,,,,,,,,,,,
Proportion of children deprived in 2 or more non-income dimensions of poverty,41.1,2016,,SUSENAS,,All,All,All,All,All,Kepulauan Riau,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,Q3,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,All,Graduated primary school (SD/MI),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.1,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Timur,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41.1,2013,,RISKESDAS,,All,All,All,All,All,Maluku Utara,,0-59 months,2,,,,,,,,,,,,
Health insurance coverage,41.1,2015,,SUSENAS ,,All,All,All,All,All,Lampung,,All,3,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.2,2015,,SUSENAS,,All,All,All,Q2,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41.2,2013,,RISKESDAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,0-59 months,2,,,,,,,,,,,,
Health worker density and distribution: Midwives,41.2,2015,,Indonesia Health Profile,,All,All,All,All,All,Kalimantan Barat,,All,3,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,41.2,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,,4,,,,,,,,,,,,
Percentage of schools with sex-separated sanitation facilities,41.2,2016,,School Statistics by the Ministry of Education and Culture from all forms of schols,,All,All,All,All,All,Sulawesi Utara,,,6,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,41.3,2015,,SUSENAS,,All,Urban,All,All,All,All Indonesia,,18+ yrs,1,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41.3,2013,,RISKESDAS,,All,All,All,All,No school,All Indonesia,,0-59 months,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41.3,2013,,RISKESDAS,,All,All,All,All,All,Kalimantan Tengah,,0-59 months,2,,,,,,,,,,,,
Health insurance coverage (children),41.3,2015,,SUSENAS ,,All,All,All,All,All,Jawa Barat,,0-17 yrs,3,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,41.4,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Barat,,12-23 months,3,,,,,,,,,,,,
Health insurance coverage (children),41.4,2015,,SUSENAS ,,All,All,All,All,All,Banten,,0-17 yrs,3,,,,,,,,,,,,
Health worker density and distribution: Midwives,41.4,2015,,Indonesia Health Profile,,All,All,All,All,All,Banten,,All,3,,,,,,,,,,,,
Senior secondary adjusted net attendance rate,41.4,2015,,SUSENAS,,All,All,All,All,Incomplete primary school (SD)/Islamic primary school (MI),All Indonesia,,,4,,,,,,,,,,,,
Proportion of children under 5 years of age with a birth certificate,41.4,2015,,SUSENAS,,All,All,All,All,All,Maluku,,0-59 months,16,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,41.5,2013,,RISKESDAS,,All,All,All,All,All,Aceh,,0-59 months,2,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,41.5,2015,,SUSENAS ,,All,All,All,All,All,Riau,,12-23 months,3,,,,,,,,,,,,
Proportion of adults living below international poverty line of US$3.1 (PPP) per day,41.6,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Tenggara,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.6,2015,,SUSENAS,,All,All,All,Q5 (wealthiest),All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,41.6,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Barat,,12-23 months,3,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,41.6,2015,,SUSENAS ,,All,All,All,All,All,Sulawesi Barat,,12-23 months,3,,,,,,,,,,,,
Health insurance coverage (adults),41.7,2015,,SUSENAS ,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,3,,,,,,,,,,,,
Health insurance coverage,41.7,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Utara,,All,3,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,41.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Tengah,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.8,2015,,SUSENAS,,All,All,All,All,All,All Indonesia,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,41.8,2015,,SUSENAS,,All,All,All,All,All,Lampung,,15-49 yrs,2,,,,,,,,,,,,
Senior secondary completion rate,41.8,2015,,SUSENAS,,All,All,All,All,All,Kalimantan Barat,,,4,,,,,,,,,,,,
Percentage of schools with sex-separated sanitation facilities,41.9,2016,,School Statistics by the Ministry of Education and Culture from all forms of schols,,All,All,All,All,All,Aceh,,,6,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,42,2015,,SUSENAS,,All,All,All,All,All,Sumatera Selatan,,15-49 yrs,2,,,,,,,,,,,,
Under 5 mortality ratio (within 10 years preceding the survey),42,2012,,IDHS,,All,All,All,All,All,Kepulauan Riau,,,3,,,,,,,,,,,,
Proportion of children aged 12-23 months who received complete basic immunisation,42,2015,,SUSENAS ,,All,All,All,All,All,Sumatera Selatan,,12-23 months,3,,,,,,,,,,,,
"Adolescent birth rate per 1,000 women",42,2012,,IDHS,,Female,All,All,All,All,Riau,,15-19 yrs,3,,,,,,,,,,,,
Health insurance coverage (children),42,2015,,SUSENAS ,,All,All,All,All,Graduated junior secondary school (SMP/MTS),All Indonesia,,0-17 yrs,3,,,,,,,,,,,,
Percentage of children attending first grade of primary school who attended preschool in previous year,42,2015,,SUSENAS,,All,All,All,All,All,Nusa Tenggara Barat,,,4,,,,,,,,,,,,
Proportion of population using improved drinking water sources,42,2015,,SUSENAS,,All,All,All,All,All,Bengkulu,,,6,,,,,,,,,,,,
"Number of deaths due to disasters, annual average for 2005-2015",42,2005-2015,,Data dan Informasi Bencana Indonesia (DIBI),,All,All,All,All,All,Sulawesi Selatan,,,13,,,,,,,,,,,,
Proportion of adults living below twice the national poverty line,42.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Utara,,18+ yrs,1,,,,,,,,,,,,
Prevalence of early initiation of breast-feeding,42.1,2015,,SUSENAS,,All,All,All,All,All,Sulawesi Selatan,,15-49 yrs,2,,,,,,,,,,,,
Prevalence of moderate & severe stunting in children under 5 years of age,42.1,2013,,RISKESDAS,,All,Rural,All,All,All,All Indonesia,,0-59 months,2,,,,,,,,,,,,
